acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
12510148|2021-07|0.0|12949.63416|12949.63416|12832.30688|12832.30688
12510148|2021-08|0.0|13262.182516|13262.182516|12949.63416|12949.63416
12510148|2021-09|0.0|12745.48957|13262.182516|13262.182516|13262.182516
12510148|2021-10|0.0|13481.28839|13481.28839|13262.182516|13262.182516
12600469|2021-06|0.0|20430.91|20430.91|20430.7|20430.7
12600469|2021-07|0.0|20431.08|20431.08|20430.91|20430.91
12600469|2021-08|0.0|20431.25|20431.25|20431.08|20431.08
12600469|2021-09|0.0|20431.41|20431.41|20431.25|20431.25
12600469|2021-10|0.0|20431.58|20431.58|20431.41|20431.41
12691367|2021-06|0.0|317.30464|317.30464|315.92778|315.92778
12691367|2021-07|0.0|320.5395|320.5395|317.30464|317.30464
12691367|2021-08|0.0|320.05183|320.5395|320.5395|320.5395
12691367|2021-09|0.0|318.9277|320.5395|320.5395|320.5395
12691367|2021-10|0.0|318.98475|320.05183|320.5395|320.5395
12978194|2021-06|0.0|577482.68073|577482.68073|569633.11215|569633.11215
12978194|2021-07|0.0|586496.01036|586496.01036|577482.68073|577482.68073
12978194|2021-08|0.0|597777.36387|597777.36387|586496.01036|586496.01036
12978194|2021-09|0.0|731168.97814|731168.97814|597777.36387|597777.36387
12978194|2021-10|0.0|758871.69567|758871.69567|731168.97814|731168.97814
13026819|2021-06|198.0|106596.90398|106596.90398|106041.38692|106041.38692
13026819|2021-07|19.64999999999418|107078.84773|107078.84773|106596.90398|106596.90398
13026819|2021-08|0.0|109491.69619|109491.69619|107078.84773|107078.84773
13026819|2021-09|71.0|105236.4918|109491.69619|109491.69619|109491.69619
13026819|2021-10|0.0|109974.19054|109974.19054|109491.69619|109491.69619
13080882|2021-06|0.0|32611.83586|32611.83586|32596.67968|32596.67968
13080882|2021-07|0.0|32793.081|32793.081|32611.83586|32611.83586
13080882|2021-08|0.0|32719.6672|32793.081|32793.081|32793.081
13080882|2021-09|0.0|32505.62434|32793.081|32793.081|32793.081
13080882|2021-10|0.0|32459.8162|32719.6672|32793.081|32793.081
13479263|2021-06|0.0|6198.65658|6198.65658|5986.62682|5986.62682
